set_no,name,theme_group,theme,subtheme,year,dimensions,weight,piece_cnt,minifig_cnt,inventory_url,minifig_url,store_price,current_price,rating_value,rating_votes,tags,set_type,packaging,notes
9787-1,FIRST LEGO League (FLL) Challenge 2000 - Expansion Set,Educational,Education,FIRST LEGO League,2000,,,,0,,,,"New: Not known, Used: Not known",,,,Normal,Box,
9872-1,FIRST LEGO League (FLL) Challenge 2000 - Volcanic Panic,Educational,Education,FIRST LEGO League,2000,,,174,0,,,,"New: Not known, Used: Not known",,,,Normal,Box,
9917-1,DCP Sensor Connector Cable,Educational,Education,Mindstorms,2000,,,1,0,,,$59.00,"New: $3, Used: Not known",,,Electric,Normal,,"Connector cable to link DCP sensors to the RCX. DCP sensors are used to log data such as temperature, humidity, pH values and sound. Year of release yet to be confirmed."
926097-1,Lunchbox Blue,Miscellaneous,Gear,Housewares,2000,,,,0,,,£4.99,"New: Not known, Used: Not known",,,,Gear,,
B001-1,"1x4x5 Black Window Frames, Transparent Blue Panes",Basic,Bulk Bricks,,2000,,,20,0,,,,"New: $20, Used: Not known",,,Polybag,Other,Polybag,
B002-1,"1x4x3 Thin Wall Element, Clear",Basic,Bulk Bricks,,2000,,,25,0,,,,"New: $18, Used: Not known",,,Polybag,Other,Polybag,
B003-1,"1x4x6 Red Door and Frames, Transparent Green Panes",Basic,Bulk Bricks,,2000,,,10,0,,,$9.99,"New: Not known, Used: Not known",,,Polybag,Other,Polybag,
B004-1,"2 x 4 Ridge Roof Tiles, Low Sloped Black",Basic,Bulk Bricks,,2000,,,25,0,,,,"New: Not known, Used: Not known",,,Polybag,Other,Polybag,
B005-1,"2 x 4 Ridge Roof Tiles, Low Sloped Red",Basic,Bulk Bricks,,2000,,,25,0,,,$4.99,"New: Not known, Used: Not known",,,Polybag,Other,Polybag,
1100-1,Sky Pirates,Modern day,Town,Special,2001,,,109,2,/inventories/1100-1,/minifigs/inset-1100-1,$17.00,"New: $36, Used: Not known",4.0,1review,"Aircraft, Boat, Airplane, Shark, Kayak",Normal,Box,"Promotional release with airlines including Braathen SAFE, SAS and an airline from Portugal. Also Maersk Air in July 2002."
1195-1,Alien Encounter,Action/Adventure,Space,Life On Mars,2001,,,42,2,/inventories/1195-1,/minifigs/inset-1195-1,,"New: $6, Used: $5",4.7,7,"Polybag, Spaceship, Mars",Normal,Polybag,"Promotional release with Quaker Oats, US. Also available from Intertoys in Holland."
1201-2,Chicken Run,Pre-school,Duplo,,2001,,,,0,,,,"New: Not known, Used: Not known",,,Polybag,Normal,Polybag,
1202-1,Single Racers Figure Pack,Racing,Racers,Xalax,2001,,,1,0,,,,"New: Not known, Used: Not known",2.0,1review,Polybag,Normal,Polybag,Promotional release. Contains 1 out of 8 randomly assorted Racers figures and a small brochure. Given out for free at a LEGO Racers promotion in Germany.
1237-1,Honda Asimo,Technical,Technic,,2001,,,56,0,/inventories/1237-1,,,"New: $28, Used: Not known",4.0,1review,"Robot, Droid",Normal,Box,[JP] Promotional release with Honda.
1238-1,Medium Bucket,Pre-school,Duplo,,2001,,,,0,,,,"New: Not known, Used: Not known",,,,Normal,Bucket,Yellow bucket set.
1239-1,Subzero,Racing,Racers,Xalax,2001,,,4,0,,,,"New: $5, Used: $5",3.8,5,,Normal,Box,"Promotional release with Birdseye/Walls frozen foods, UK."
1351-1,Movie Backdrop Studio,Modern day,Studios,,2001,,,211,3,/inventories/1351-1,/minifigs/inset-1351-1,$60.00,"New: $53, Used: $40",4.0,2,"Aircraft, Helicopter, Police, Baseplate, Car, Electric, Camera, 9V",Normal,Box,
1352-1,Explosion Studio,Modern day,Studios,,2001,,,233,4,/inventories/1352-1,/minifigs/inset-1352-1,"£24.99, $35.00","New: $66, Used: $29",4.3,6,"Police, Baseplate, Camera, Bank",Normal,Box,
1353-1,Car Stunt Studio,Modern day,Studios,,2001,,,166,2,/inventories/1353-1,/minifigs/inset-1353-1,"£14.99, $20.00","New: $27, Used: $14",3.0,1review,"Car, Camera",Normal,Box,
1354-1,Dino Head Attack,Modern day,Studios,,2001,,,94,2,/inventories/1354-1,/minifigs/inset-1354-1,$10.00,"New: $12, Used: $9",4.0,6,"Dinosaur, Cat",Normal,Box,
1355-1,Temple of Gloom,Modern day,Studios,,2001,,,58,2,/inventories/1355-1,/minifigs/inset-1355-1,$7.00,"New: $14, Used: $5",4.3,9,"Johnny Thunder, Camera",Normal,Box,
1356-1,Stuntman Catapult,Modern day,Studios,,2001,,,29,2,/inventories/1356-1,/minifigs/inset-1356-1,"£2.99, $4.00","New: $17, Used: $5",4.4,11,Catapult,Normal,Box,
1357-1,Cameraman,Modern day,Studios,,2001,,,21,1,/inventories/1357-1,/minifigs/inset-1357-1,"£1.99, $2.00","New: $11, Used: $4",4.2,11,Camera,Normal,Box,
1360-1,Director's Copter,Modern day,Studios,,2001,,,22,1,/inventories/1360-1,/minifigs/inset-1360-1,$3.00,"New: $5, Used: $5",4.0,1review,"Aircraft, Helicopter, Camera, Microlight",Normal,Box,Same as 1421-1 
