set_no,name,theme_group,theme,subtheme,year,dimensions,weight,piece_cnt,minifig_cnt,inventory_url,minifig_url,store_price,current_price,rating_value,rating_votes,tags,set_type,packaging,notes
5002912-1,R2 D2 Key Light,Miscellaneous,Gear,Lights,2014,,,,0,,,"£9.99, 6.49€","New: Not known, Used: Not known",5.0,1review,,Gear,,
5002913-1,Superman Key Light,Miscellaneous,Gear,Lights,2014,,,,0,,,"£9.99, $11.99, 12.99€","New: Not known, Used: Not known",,,,Gear,,
5002914-1,THE LEGO MOVIE Emmet Key Light,Miscellaneous,Gear,Lights,2014,,,,0,,,"£9.99, $11.99, 9.09€","New: Not known, Used: Not known",,,,Gear,,
5002915-1,Batman Key Light,Miscellaneous,Gear,Lights,2014,,,,0,,,"£9.99, 12.99€","New: Not known, Used: Not known",,,,Gear,,
5002916-1,The LEGO Movie Unikitty Key Light,Miscellaneous,Gear,Lights,2014,,,,0,,,"£9.99, $13.99, 9.09€","New: Not known, Used: Not known",,,,Gear,,
5002917-1,Star Wars Yoda Desk Lamp,Miscellaneous,Gear,Lights,2014,,,,0,,,"£34.99, 19.99€","New: Not known, Used: Not known",,,,Gear,,
5003022-1,Bad Cop Alarm Clock,Miscellaneous,Gear,Watches/Clocks,2014,,,,0,,,"£24.99, $29.99","New: Not known, Used: Not known",,,Police,Gear,,
5003023-1,Bad Cop Link Watch,Miscellaneous,Gear,Watches/Clocks,2014,,,,0,,,"£19.99, $24.99, 17.49€","New: Not known, Used: Not known",,,Police,Gear,,
5003024-1,Lucy Wyldstyle Link Watch,Miscellaneous,Gear,Watches/Clocks,2014,,,,0,,,"£19.99, $24.99, 17.49€","New: Not known, Used: Not known",,,,Gear,,
5003025-1,Emmet Link Watch,Miscellaneous,Gear,Watches/Clocks,2014,,,,0,,,"£19.99, $24.99, 17.49€","New: Not known, Used: Not known",,,,Gear,,
5003026-1,Lucy Wyldstyle Alarm Clock,Miscellaneous,Gear,Watches/Clocks,2014,,,,0,,,"£24.99, $29.99, 20.99€","New: Not known, Used: Not known",,,,Gear,,
5003027-1,Emmet Alarm Clock,Miscellaneous,Gear,Watches/Clocks,2014,,,,0,,,"£24.99, $29.99, 20.99€","New: Not known, Used: Not known",3.0,1review,,Gear,,
5003097-1,Friends Collection 1,Girls,Friends,Product Collection,2014,,,412,0,,,$57.97,"New: Not known, Used: Not known",,,,Collection,,Contains 41006-1 41013-1 850781-1 
5003257-1,Gorzan Kids Minifigure Link Watch,Miscellaneous,Gear,Watches/Clocks,2014,,,,0,,,$24.99,"New: Not known, Used: Not known",,,Legends Of Chima,Gear,,
5003258-1,Worriz Kids Minifigure Link Watch,Miscellaneous,Gear,Watches/Clocks,2014,,,,0,,,$24.99,"New: Not known, Used: Not known",,,Legends Of Chima,Gear,,
5003544-1,The LEGO Movie Video Game,Miscellaneous,Gear,Video Games/3DS,2014,,,,0,,,$29.99,"New: Not known, Used: Not known",,,,Gear,,
5003545-1,The LEGO Movie Video Game,Miscellaneous,Gear,Video Games/PS4,2014,,,,0,,,$59.99,"New: Not known, Used: Not known",,,,Gear,,
5003547-1,The LEGO Movie Video Game,Miscellaneous,Gear,Video Games/Wii U,2014,,,,0,,,$49.99,"New: Not known, Used: Not known",,,,Gear,,
5003555-1,The LEGO Movie Video Game,Miscellaneous,Gear,Video Games/PS Vita,2014,,,,0,,,$29.99,"New: Not known, Used: Not known",,,,Gear,,
5003556-1,The LEGO Movie Video Game,Miscellaneous,Gear,Video Games/Xbox 360,2014,,,,0,,,$49.99,"New: Not known, Used: Not known",5.0,1review,,Gear,,
5003557-1,The LEGO Movie Video Game,Miscellaneous,Gear,Video Games/PS3,2014,,,,0,,,$49.99,"New: Not known, Used: Not known",2.0,2,,Gear,,
