set_no,name,theme_group,theme,subtheme,year,dimensions,weight,piece_cnt,minifig_cnt,inventory_url,minifig_url,store_price,current_price,rating_value,rating_votes,tags,set_type,packaging,notes
722-1,"Universal Building Set, 7+",Basic,Basic,,1980,,,301,0,,,$20.00,"New: $200, Used: $78",4.4,5,"Aircraft, Helicopter, Truck, Car, Boat, Crane, Trailer, 4X4",Normal,,
733-1,"Universal Building Set, 7+",Basic,Basic,,1980,,,533,0,,,$39.00,"New: $566, Used: $109",4.5,2,"Helicopter, Truck, Baseplate, Crane, Racing, Base",Normal,,
744-1,"Universal Building Set with Motor, 7+",Basic,Basic,,1980,,,537,0,,,$59.00,"New: $252, Used: $97",5.0,2,"Truck, Crane, Windmill",Normal,,
820-1,Red Plates Parts Pack,Basic,Basic,Supplementaries,1980,,,34,0,,,$4.75,"New: Not known, Used: Not known",,,,Normal,,
822-1,Blue Plates Parts Pack,Basic,Basic,Supplementaries,1980,,,34,0,,,$4.75,"New: $29, Used: $5",,,,Normal,,
830-1,Red Bricks Parts Pack,Basic,Basic,Supplementaries,1980,,,46,0,,,$4.75,"New: $12, Used: Not known",,,,Normal,,
831-1,Black Bricks Parts Pack,Basic,Basic,Supplementaries,1980,,,46,0,,,$4.75,"New: $7, Used: Not known",,,,Normal,,
832-1,Blue Bricks Parts Pack,Basic,Basic,Supplementaries,1980,,,46,0,,,$4.75,"New: $18, Used: Not known",,,,Normal,,
833-1,White Bricks Parts Pack,Basic,Basic,Supplementaries,1980,,,46,0,,,$4.75,"New: $11, Used: Not known",,,,Normal,,
834-1,Yellow Bricks Parts Pack,Basic,Basic,Supplementaries,1980,,,46,0,,,$4.75,"New: $30, Used: Not known",,,,Normal,,
836-1,Doors and Windows Parts Pack,Basic,Basic,Supplementaries,1980,,,37,0,,,$4.75,"New: $20, Used: Not known",,,,Normal,,
837-1,Wheels and Tyres Parts Pack,Basic,Basic,Supplementaries,1980,,,28,0,,,$4.75,"New: $3, Used: $2",,,,Normal,,
838-1,"Red Roof Bricks Parts Pack, 45°",Basic,Basic,Supplementaries,1980,,,58,0,,,$4.75,"New: $30, Used: Not known",4.0,1review,,Normal,Box,
839-1,"Red Roof Bricks Parts Pack, 33°",Basic,Basic,Supplementaries,1980,,,42,0,,,$4.75,"New: $12, Used: Not known",5.0,1review,,Normal,Box,
840-1,"Baseplate, Green",Basic,Basic,Supplementaries,1980,,,1,0,,,,"New: $15, Used: $5",3.7,3,Baseplate,Normal,,32 x 32 studs.
841-1,"Baseplates, Green and Yellow",Basic,Basic,Supplementaries,1980,,,2,0,,,,"New: Not known, Used: Not known",,,,Normal,,
842-1,"Baseplates, Red and Blue",Basic,Basic,Supplementaries,1980,,,2,0,,,,"New: Not known, Used: Not known",,,,Normal,,
843-1,"Baseplate, Grey",Basic,Basic,Supplementaries,1980,,,1,0,,,,"New: Not known, Used: Not known",5.0,2,Baseplate,Normal,,Re-released as 628-1 
858-1,Auto Engines,Technical,Technic,,1980,,,242,0,,,,"New: Not known, Used: $51",4.5,2,,Normal,Box,European version of 8858-2 
1041-2,Educational Duplo Building Set,Educational,Dacta,,1980,,,68,0,,,$36.50,"New: Not known, Used: Not known",,,,Normal,,
1050-2,Universal set for boys and girls,Educational,Dacta,,1980,,,,0,,,,"New: Not known, Used: Not known",,,,Normal,,
1062-1,{Town Vehicles},Educational,Dacta,,1980,,,172,6,,/minifigs/inset-1062-1,,"New: Not known, Used: $24",,,Ambulance,Normal,,
1075-1,LEGO People Supplementary Set,Educational,Dacta,,1980,,,304,0,,,$14.50,"New: Not known, Used: Not known",,,Maxifig,Normal,,
1076-2,LEGO Car and Truck Supplementary Set,Educational,Dacta,,1980,,,,0,,,$14.50,"New: Not known, Used: Not known",,,,Normal,,
1101-1,Replacement 4.5V Motor,Miscellaneous,Service Packs,,1980,,,1,0,,,$5.65,"New: $19, Used: Not known",,,Polybag,Normal,Polybag,Year of release yet to be confirmed.
1102-1,Four Motor Wheel Bushes,Miscellaneous,Service Packs,,1980,,,4,0,,,,"New: $1, Used: Not known",,,Polybag,Normal,Polybag,Year of release yet to be confirmed.
1103-1,Battery Box,Miscellaneous,Service Packs,,1980,,,1,0,,,,"New: $17, Used: $8",,,Polybag,Normal,Polybag,Year of release yet to be confirmed.
1104-1,Two Connector Leads,Miscellaneous,Service Packs,,1980,,,2,0,,,,"New: $17, Used: Not known",,,Polybag,Normal,Polybag,Year of release yet to be confirmed.
1105-1,Two Rubber Crawler Tracks,Miscellaneous,Service Packs,,1980,,,2,0,,,,"New: $1, Used: Not known",,,Polybag,Normal,Polybag,Year of release yet to be confirmed.
1106-1,Battery Tender for Trains,Miscellaneous,Service Packs,Trains,1980,,,2,0,,,,"New: Not known, Used: $18",,,"Polybag, Electric",Normal,Polybag,Year of release yet to be confirmed.
1107-1,Two Shunting Trip-Posts and One Signal,Miscellaneous,Service Packs,Trains,1980,,,4,0,,,,"New: Not known, Used: $6",,,Polybag,Normal,Polybag,Year of release yet to be confirmed.
1108-1,Two Pairs of Magnetic Couplings,Miscellaneous,Service Packs,Trains,1980,,,4,0,,,,"New: $13, Used: Not known",,,Polybag,Normal,Polybag,Year of release yet to be confirmed.
1110-1,Four Locomotive Wheels,Miscellaneous,Service Packs,Trains,1980,,,8,0,,,,"New: $7, Used: $2",,,Polybag,Normal,Polybag,Year of release yet to be confirmed.
1111-1,Eight Rubber Rims for Locomotive Wheels,Miscellaneous,Service Packs,Trains,1980,,,8,0,,,,"New: $21, Used: Not known",,,Polybag,Normal,Polybag,Year of release yet to be confirmed.
1113-1,Motor Frame 6 x 16 Stud Plus Four Buffers,Miscellaneous,Service Packs,,1980,,,5,0,,,,"New: $6, Used: Not known",,,Polybag,Normal,Polybag,Year of release yet to be confirmed.
1114-1,Motor Frame 6 x 22 Stud,Miscellaneous,Service Packs,,1980,,,1,0,,,,"New: $17, Used: $17",,,Polybag,Normal,Polybag,Year of release yet to be confirmed.
1115-1,"Lighting Brick, 4.5V",Miscellaneous,Service Packs,,1980,,,1,0,,,,"New: $4, Used: $3",,,Polybag,Normal,Polybag,Year of release yet to be confirmed.
1120-1,"Two Tyres, 42 mm Diameter",Miscellaneous,Service Packs,,1980,,,2,0,,,,"New: $5, Used: Not known",,,Polybag,Normal,Polybag,Year of release yet to be confirmed.
1122-1,Hinge Units,Miscellaneous,Service Packs,,1980,,,3,0,,,,"New: $5, Used: Not known",,,Polybag,Normal,Polybag,Year of release yet to be confirmed.
1123-1,Ball and Socket Couplings & One Articulated Joint,Miscellaneous,Service Packs,,1980,,,8,0,,,$16.00,"New: $6, Used: Not known",,,Polybag,Normal,Polybag,Year of release yet to be confirmed.
1125-1,Crane Grab Assembly,Miscellaneous,Service Packs,,1980,,,3,0,,,,"New: $11, Used: Not known",,,Polybag,Normal,Polybag,Year of release yet to be confirmed.
1129-2,Spread Bag,Miscellaneous,Service Packs,,1980,,,34,0,,,,"New: $18, Used: $7",,,Polybag,Normal,Polybag,Year of release yet to be confirmed.
1130-1,Plastic Folder for Building Instructions,Miscellaneous,Service Packs,,1980,,,1,0,,,$14.00,"New: Not known, Used: $12",,,Polybag,Normal,Polybag,Year of release yet to be confirmed.
1591-1,Danone Delivery Truck,Modern day,Town,Special,1980,,,40,0,,,,"New: $129, Used: $28",,,Truck,Normal,Box,Promotional release with Danone.
